rank,features,n_features,real_mae,real_rmse,real_r2,synth_rmse_insample
1,min_temp_celsius|feat_poverty_rate|feat_median_hh_income|feat_total_population,4,87.15002227889558,144.63075458076943,0.42044932494928344,163.16976263451667
2,min_temp_celsius|feat_poverty_rate|feat_unemployment_rate|feat_median_hh_income,4,86.84240875182324,144.72193659642548,0.4197183427078265,163.16976263451667
3,min_temp_celsius|feat_poverty_rate|feat_unemployment_rate|feat_total_population,4,86.84240875182324,144.72193659642548,0.4197183427078265,163.16976263451667
4,min_temp_celsius,1,88.99082538347382,145.28048159385165,0.4152305798731225,165.65272638369612
5,min_temp_celsius|feat_poverty_rate,2,90.24766727885003,148.54207664684196,0.38867931058918237,163.16976263451667
6,min_temp_celsius|feat_poverty_rate|feat_unemployment_rate,3,90.24766727885003,148.54207664684196,0.38867931058918237,163.16976263451667
7,min_temp_celsius|unsheltered_homeless,2,90.98322076404817,148.9358354895765,0.3854340082964246,164.5315159496173
8,min_temp_celsius|feat_poverty_rate|feat_median_hh_income,3,91.05942786942016,149.50776297410462,0.38070496437873025,163.16976263451667
9,min_temp_celsius|feat_poverty_rate|feat_total_population,3,91.05942786942016,149.50776297410462,0.38070496437873025,163.16976263451667
10,min_temp_celsius|feat_unemployment_rate|feat_median_hh_income|feat_total_population,4,89.15706719744735,149.7324273897136,0.37884234410969353,163.16976263451667
11,min_temp_celsius|overall_homeless,2,91.85941657335358,150.79254105534477,0.37001554779396306,164.49339476156493
12,min_temp_celsius|overall_homeless|unsheltered_homeless,3,92.29200983820284,151.26094071493472,0.36609568804052484,164.48954776903648
13,min_temp_celsius|feat_median_hh_income,2,89.66951231284229,151.50980604276427,0.36400808260774076,163.16976263451667
14,min_temp_celsius|feat_total_population,2,89.66951231284229,151.50980604276427,0.36400808260774076,163.16976263451667
15,min_temp_celsius|feat_median_hh_income|feat_total_population,3,89.66951231284229,151.50980604276427,0.36400808260774076,163.16976263451667
